level,movelimit,completionrate
1,1000,1.0
2,25,0.9993213828425096
3,30,0.9895280718075076
4,35,0.9836263404733824
5,35,0.9826629815033148
6,25,0.9755164790486112
7,30,0.9753916331552728
8,34,0.9639534883720929
9,35,0.9522254581825671
10,40,0.9497290722105496
11,30,0.9223934162489944
12,35,0.922280280563009
13,30,0.9112574172815135
14,35,0.90132201364338
15,25,0.8939840529844875
16,40,0.8913173206027152
17,35,0.8789570962287152
18,35,0.8777919369786841
19,35,0.8632387918467559
20,30,0.8623367786289992
21,30,0.8324601555175647
22,35,0.8280288343904688
23,48,0.8086129631653732
24,30,0.7864407141408859
25,40,0.7859504297822036
26,30,0.7676561105931651
27,35,0.7336296090549267
28,35,0.7264469482878849
29,40,0.6811790109369239
30,50,0.6765307589379513
31,55,0.6727779786190157
32,32,0.6331734547326776
33,44,0.6188364256110315
34,46,0.6069853639992396
35,40,0.5970026500959518
36,45,0.5922691032876467
37,35,0.5914841954645971
38,45,0.5740750182701949
39,36,0.5616950730508211
40,42,0.5492824143200942
41,35,0.5405352829607535
42,44,0.5333226304910598
43,35,0.5265770823100133
44,35,0.5156335916020994
45,25,0.5145920771922975
46,35,0.4837442157332057
47,38,0.4815116494753906
48,45,0.4725260446523431
49,55,0.4532624897821802
50,35,0.4471912823193534
51,60,0.4451624455984367
52,45,0.4427225922445144
53,45,0.4199803752028058
54,41,0.4144214612665855
55,40,0.4128110654747524
56,44,0.4060053221431861
57,40,0.4016641940269625
58,45,0.3947596217871887
59,45,0.390041265474553
60,37,0.3852851931403634
61,40,0.3839888079963921
62,38,0.3824456494197537
63,35,0.3748148021273134
64,55,0.3728923846162627
65,36,0.3672514619883041
66,42,0.3663964937093478
67,39,0.3576583243205637
68,35,0.3538489630271009
69,35,0.3479694290424097
70,44,0.3415787870712301
71,40,0.3351513071505312
72,42,0.32733592006112266
73,35,0.32033433842600656
74,45,0.32010174118848633
75,50,0.3198988226979374
76,38,0.3183379846340297
77,47,0.3153161316630043
78,40,0.3051026057759283
79,36,0.30464246056494426
80,41,0.28464385663988445
81,37,0.2818539983441345
82,28,0.2785995256826645
83,37,0.27823286092086524
84,40,0.2765740429571195
85,38,0.2548521256931608
86,37,0.25211424840180724
87,26,0.2502550686723349
88,50,0.24928225335428306
89,34,0.2464744604293309
90,50,0.2415672678033929
91,38,0.24031741204431156
92,46,0.2389871400762125
93,41,0.2374814784744352
94,34,0.2352359719185841
95,32,0.2270389922563174
96,32,0.21692678482203212
97,38,0.21665860580032748
98,41,0.2154616618855448
99,42,0.212196099785183
100,30,0.20869181957048066
101,44,0.20287628335753025
102,42,0.19746384839219508
103,35,0.17708546354346213
104,34,0.16612535931608616
105,42,0.1611576801087449
106,38,0.1604339988568693
107,38,0.1592309793257413
108,33,0.1591156588382749
109,30,0.1574648384628965
110,45,0.14050036078958553
